# meta: schema_version=14, exported_at=2026-05-11T18:22:52Z, record_count=97, confidence_threshold=0
argus_record_id,id,identifier,identifier_type,device_category,manufacturer,model,confidence,source_type,source_url,source_excerpt,geographic_scope,description,first_seen,last_verified,notes
eea6f74486eea9c0,1,e4:aa:ea:80:a1:9b,mac,alpr,Flock Safety,,65,crowdsourced,https://raw.githubusercontent.com/0xXyc/flock-you-wifi-recon/main/README.md,"_flagged:64 ch:10     ← baseline: 0 matches
[+00:07:23.948] MATCH(oui_flock) PROBE_REQ src:e4:aa:ea:80:a1:9b ssid:""<hidden>"" rssi:-82 ch:5 hits:1
[+00:07:24.461] MATCH(oui_flock) PROBE_REQ src:e4:aa:e",US,Flock Safety alpr,2026-05-06 00:30:28,,"OUI E4:AA:EA registered to Liteon Technology Corporation per IEEE MA-L (raw_observations.id=85781) and Wireshark manuf (id=216273). Flock Safety uses Liteon-OEM-supplied WiFi modules per recon-tool README at https://github.com/0xXyc/flock-you-wifi-recon . Manufacturer attribution reflects observed deployment context, not OUI registry. Source: community-inferred MATCH(oui_flock) rule, 13 same-MAC occurrences in same README. Wave-B/B2/C/D/E standing-advisory archives: 0 independent corroboration hits at OUI level (Phase-5 Step-3 sweep, MAC-38). | §8.3 corroboration 2026-05-10: flock-back signatures.py:47 e4:aa:ea OUI-prefix vendor-attribution corroborates Wave-A full-MAC; +5 boost per board iter-4 fac200a6 OUI-prefix-corroboration constraints (cap +5, floor ≥50 met since prefix-source conf=65, same-vendor Flock Safety match)"
ee6ba1f85f7588af,413,00:04:7d,oui,unknown,Motorola Solutions,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,00047D,Motorola Solutions Inc.,""500 W Monroe Street, Ste 4400  Chicago IL US 60661-3781 """,global,Motorola Solutions unknown,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=53738. SAR-9 disposition=accept via alias='Motorola Solutions'. candidate_manufacturer (raw)='Motorola Solutions Inc.'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=473; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=00:04:7D         	MotorolaSolu	Motorola Solutions Inc."
16f810b92a2695b1,414,10:74:6f,oui,unknown,Motorola Solutions,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,10746F,MOTOROLA SOLUTIONS MALAYSIA SDN. BHD.,""INNOPLEX, NO. 2A, MEDAN BAYAN LEPAS, BAYAN LEPAS TECHNOPLEX BAYAN LEPAS PENANG MY 11900 """,global,Motorola Solutions unknown,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=54039. SAR-9 disposition=accept via alias='Motorola Solutions'. candidate_manufacturer (raw)='MOTOROLA SOLUTIONS MALAYSIA SDN. BHD.'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=499; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=10:74:6F         	MotorolaSolu	Motorola Solutions Malaysia Sdn. Bhd."
f9114e5c8a1477bc,415,b8:a4:4f,oui,unknown,Axis Communications,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,B8A44F,Axis Communications AB,Emdalavägen 14 LUND  SE 22369 ",global,Axis Communications unknown,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=54374. SAR-9 disposition=accept via alias='Axis Communications'. candidate_manufacturer (raw)='Axis Communications AB'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=525; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=B8:A4:4F         	AxisCommunic	Axis Communications AB"
1c452b196c10dab1,416,90:3a:e6,oui,unknown,Parrot,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,903AE6,PARROT SA,174 Quai de Jemmapes Paris  FR 75010 ",global,Parrot unknown,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=55414. SAR-9 disposition=accept via alias='Parrot'. candidate_manufacturer (raw)='PARROT SA'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=519; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=90:3A:E6         	Parrot      	Parrot Sa"
d30df38a13b98013,417,d4:11:d6,oui,gunshot_detect,SoundThinking,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,D411D6,""ShotSpotter, Inc."",1060 Terra Bella Ave. Mountain View CA US 94043 ",global,SoundThinking gunshot_detect,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=57141. SAR-9 disposition=accept via alias='ShotSpotter'. candidate_manufacturer (raw)='ShotSpotter, Inc.'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=528; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=D4:11:D6         	ShotSpotter 	ShotSpotter, Inc."
107664406ea24c1b,418,00:24:37,oui,unknown,Motorola Solutions,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,002437,Motorola - BSG,1101 Marina Village Pkwy Alameda CA US 94501 ",global,Motorola Solutions unknown,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=57272. SAR-9 disposition=accept via alias='Motorola Solutions'. candidate_manufacturer (raw)='Motorola - BSG'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=482; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=00:24:37         	MotorolaBSG 	Motorola - BSG"
f7818dc81f66d28a,419,00:17:f3,oui,unknown,Harris,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,0017F3,Harris Corporation,1025 West NASA Blvd Melbourne FL US 32919 ",global,Harris unknown,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=57708. SAR-9 disposition=accept via alias='Harris'. candidate_manufacturer (raw)='Harris Corporation'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=478; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=00:17:F3         	Harris      	Harris Corporation"
bb30b158ac91f8bc,420,00:0d:4f,oui,unknown,Kenwood,,55,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,000D4F,Kenwood Corporation,""2967-3, Ishikawa-machi Hachioji-shi Tokyo JP 192-8525 """,global,Kenwood unknown,,,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=58110. SAR-9 disposition=accept via alias='Kenwood'. candidate_manufacturer (raw)='Kenwood Corporation'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=475; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=00:0D:4F         	Kenwood     	Kenwood Corporation"
2fde1a991a0cd103,421,48:1c:b9,oui,drone,DJI,,80,inferred,https://standards-oui.ieee.org/oui/oui.csv,"MA-L,481CB9,""SZ DJI TECHNOLOGY CO.,LTD"",""DJI Sky City, No55 Xianyuan Road, Nanshan District Shenzhen Guangdong CN 518057 """,global,DJI drone,,2026-05-11T18:21:50Z,"Phase-5 Step-4 follow-on² (MAC-44). raw_observations.id=59398. SAR-9 disposition=accept via alias='DJI'. candidate_manufacturer (raw)='SZ DJI TECHNOLOGY CO.,LTD'. §8.2 inferred 30–70; baseline 50; adjustments=none. §8.4 strict — device_category='unknown' for OUI-level inference. §11 #13 — Talos-export-banned at staging. Board ratifications: strict-§8.4 MAC-1 [`613ec532`](/MAC/issues/MAC-1#comment-613ec532-d8cb-4f0f-a35b-c811e2864d7d) 2026-05-06T17:08:16Z; SAR-9 [`234faaa7`](/MAC/approvals/234faaa7-e1c0-40fd-a247-f82cb588fc23) 2026-05-06T18:05:53Z.
merged_from_id=503; source_url=https://www.wireshark.org/download/automated/data/manuf; source_excerpt=48:1C:B9         	SzDjiTechnol	Sz Dji Technology Co.,Ltd
[CP14 Phase-4 promotion-cycle-1 2026-05-11] Cat already drone. Conf 55->80 per §8.2 corroboration (Wave-A 1a MaxwellDPS raw_obs.id=219600 + multi-phase DJI cross-validation). Merged id=503."
